Date,brent oil,gold,NASDAQ,silver,wheat
10/31/2023,86.89,2013.45,12719.45,23.337,560.4
10/30/2023,86.35,2005.6,12789.48,23.396,566.0
10/27/2023,89.2,1989.0,12643.01,22.774,575.5
10/26/2023,87.05,1987.9,12595.61,22.795,579.5
10/25/2023,89.12,1985.5,12821.22,22.895,568.5
10/24/2023,87.16,1976.8,13139.88,22.999,580.5
10/23/2023,88.69,1978.2,13018.33,23.095,587.25
10/20/2023,92.16,1994.4,12983.81,23.504,586.0
10/19/2023,92.38,1980.5,13186.17,23.031,594.0
10/18/2023,91.5,1968.3,13314.3,23.099,580.25
10/17/2023,89.9,1935.7,13533.75,23.024,570.5
10/16/2023,89.65,1934.3,13567.98,22.765,577.25
10/13/2023,90.89,1941.5,13407.23,22.895,579.75
10/12/2023,86.0,1883.0,13574.22,21.959,571.5
10/11/2023,85.82,1887.3,13659.68,22.133,556.0
10/10/2023,87.65,1875.3,13562.84,21.953,558.5
10/09/2023,88.15,1864.3,13484.24,21.924,572.75
10/06/2023,84.58,1845.2,13431.34,21.723,568.25
10/05/2023,84.07,1831.8,13219.83,21.019,578.25
10/04/2023,85.81,1834.8,13236.01,21.146,560.0
10/03/2023,90.92,1841.5,13059.47,21.377,568.5
10/02/2023,90.71,1847.2,13307.77,21.421,564.75
